WTSP11,Híbrido,Ativa,"79,85","2,06","62,56","39,54",22688,51424800,"0,081",83649000,1,11,"100,5","396,0","4209,0","12283,0","9,19",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
VVPR11,Lajes Corporativas,Ativa,"100,33","6,11","102,3","66,38",116680,232768000,"0,0",234268000,5,5,"78,0","426,0","5485,0","33110,0","45,0",Div Yield ok | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
LVBI11,Logística,Ativa,"110,32","5,24","127,51","76,02",2718840,1380050000,"0,009000000000000001",1319890000,6,6,"62,4","290,0","3581,0","240417,0","44,91",Div Yield muito baixo | P/VPC ok | Liquidez: ok | Ativos: otimo | Vacancia: otima
BARI11,Títulos e Val. Mob.,Ativa,"102,46","12,99","113,98","68,67",1860430,254653000,"0,0",234786000,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield otimo | P/VPC horrivel | Liquidez: ok | Ativos: baixo | Vacancia: N/A
BPFF11,Outros,Ativa,"87,04","4,96","95,03","64,7",1294290,346808000,"0,0",393754000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield ok | P/VPC horrivel | Liquidez: ok | Ativos: medio | Vacancia: N/A
BVAR11,Outros,Passiva,"1082,78","94,39","0,0","0,0",0,62560300,"0,009000000000000001",678846000,73,73,"95,2","403,0","420,0","141862,0","29,91",Div Yield perigosamente alto | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
BPML11,Shoppings,Ativa,"137,77","1,69","114,09","89,01",396121,400329000,"0,068",1058810000,4,632,"139,1","321,0","4909,0","113440,0","29,32",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
CXCE11,Lajes Corporativas,Passiva,"81,04","10,41","104,26","68,1",87198,132702000,"0,0",140838000,1,1,"95,7","974,0","6372,0","19938,0","55,0",Div Yield otimo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
CXTL11,Logística,Passiva,"730,15","6,03","419,77","275,76",121375,19294900,"0,722",39227100,4,4,"99,1","78,0","808,0","23662,0","2,78",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
CTXT11,Lajes Corporativas,Passiva,"48,36","3,69","52,01","29,54",40716,77828400,"0,58",125678000,1,1,"98,0","308,0","1678,0","45450,0","29,2",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
FLMA11,Híbrido,Ativa,"3,12","0,1","3,42","2,71",204939,189842000,"0,0",216879000,1,135,"98,0","562,0","10758,0","17292,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
EDFO11,Lajes Corporativas,Passiva,"214,89","17,96","263,11","191,06",89955,59755200,"0,0",51145800,1,1,"98,3","15966,0","167772,0","350,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
EURO11,Logística,Passiva,"283,18","12,5","222,44","113,26",280074,81006700,"0,0",111767000,7,9,"98,8","47,0","685,0","116761,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
GESE11,Outros,Passiva,"1346,37","83,5","1520,0","1516,81",0,79040000,"0,0",71109700,1,1,"97,4","351,0","6095,0","12635,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
ABCP11,Shoppings,Passiva,"88,13","2,81","92,15","67,72",293682,944821000,"0,022000000000000002",1084740000,1,296,"98,2","745,0","13332,0","69628,0","29,78",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
GTWR11,Lajes Corporativas,Ativa,"100,86","8,23","115,13","89,58",1904330,1296000000,"0,0",1210970000,3,48,"99,0","1030,0","14387,0","89154,0","55,0",Div Yield ok | P/VPC ok | Liquidez: ok | Ativos: otimo | Vacancia: otima
HBTT11,Títulos e Val. Mob.,Ativa,"886,32","0,0","1324,32","945,0",0,190126000,"0,0",0,0,0,"0,0","0,0","0,0","0,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
HUSC11,Outros,Passiva,"129,75","6,73","158,48","119,24",8327,118199000,"0,0",108539000,1,1,"99,2","72,0","1601,0","73270,0","15,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
FIIB11,Híbrido,Passiva,"442,58","28,25","541,18","383,12",411483,354385000,"0,004",306211000,11,79,"96,6","42,0","629,0","544558,0","19,96",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
FMOF11,Lajes Corporativas,Passiva,"132,22","1,08","106,37","70,0",16304,35662200,"0,37799999999999995",67276100,2,96,"98,3","182,0","2113,0","16595,0","6,22",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
