KEPL3,Máq. e Equip. Industriais,"22,11","47,11",1173250000,908934000,13136900,"17,34","2,27","16,95","1,75","1,24","7,64","9,87","0,012","9,32","13,13","0,07200000000000001","2,57","19,67","0,242","0,10300000000000001","0,10099999999999999","0,073","0,11699999999999999","0,131",948778000,17196000,-264318000,517651000,"30,0",P/L Bom | Divida Liq. negativa | DY Ruim | P/VP Ruim
KLBN3,Papel e Celulose,"2,59","6,64",32808500000,52590800000,2164530,"-13,19","8,61","11,45","2,75","0,93","4,57","-1,63","0,0","10,02","18,36","0,133","-0,44","0,68","0,395","0,24","-0,2","0,081","0,107","-0,653",35270300000,26339000000,19782300000,3810300000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
KLBN4,Papel e Celulose,"2,55","6,15",32864700000,52646900000,12161300,"-13,21","8,63","11,47","2,75","0,93","4,58","-1,64","0,0","10,03","18,38","0,133","-0,44","0,68","0,395","0,24","-0,2","0,081","0,107","-0,653",35270300000,26339000000,19782300000,3810300000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LAME3,Produtos Diversos,"13,04","31,99",38082500000,38460000000,48469500,"96,65","3,09","21,6","1,79","0,8","1,95","-140,51","0,011000000000000001","11,57","21,82","0,044000000000000004","0,21","6,53","0,335","0,083","0,015","0,037000000000000005","0,09300000000000001","0,032",47709500000,22008700000,377528000,12311400000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
LAME4,Produtos Diversos,"16,02","36,26",40853800000,41231300000,330922000,"103,69","3,32","23,18","1,92","0,86","2,1","-150,74","0,01","12,41","23,39","0,044000000000000004","0,21","6,53","0,335","0,083","0,015","0,037000000000000005","0,09300000000000001","0,032",47709500000,22008700000,377528000,12311400000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
LCAM3,Aluguel de carros,"8,1","30,65",12402800000,15826100000,79344400,"32,16","2,96","15,97","2,22","0,86","10,23","-2,25","0,019","11,93","20,38","0,73","0,76","8,23","0,249","0,139","0,069","0,054000000000000006","0,092","0,092",14466200000,7113790000,3423260000,4186290000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
BBRK3,Intermediação Imobiliária,"1,21","2,9",143713000,106035000,1088590,"-0,81","-3,42","-4,48","1,41","0,7","-6,19","-0,75","0,0","-5,12","-3,3","0,027000000000000003","-2,27","-0,54","0,626","-0,316","-1,751","-0,156","-0,195","4,237",205215000,0,-37678000,-42043000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
LEVE3,Automóveis e Motocicletas,"14,5","21,68",2271050000,2363380000,4942210,"25,28","1,7","8,45","1,02","0,83","3,78","13,98","0,031","6,35","8,79","0,008","0,7","10,43","0,23600000000000002","0,121","0,039","0,099","0,136","0,067",2723060000,639025000,92326000,1337740000,"15,0",P/L Ok | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
BBSE3,Seguradoras,"21,32","29,7",47900000000,N/A,172023000,"0,0","0,0",N/A,N/A,N/A,N/A,N/A,"0,055999999999999994",N/A,N/A,N/A,"0,0","0,0",N/A,N/A,N/A,"0,0",N/A,N/A,0,0,0,0,"45,0", | P/L zero | Div. Liq e Patrim. Liq nao disponiveis | DY Ok | P/VP zero
LIGT3,Energia Elétrica,"7,3","24,5",7037570000,14216700000,81970900,"-64,9","1,03","13,46","0,58","0,28","6,52","-0,62","0,0","12,75","27,19","0,066","-0,29","18,28","0,192","0,043","-0,009000000000000001","0,02","0,026000000000000002","-0,016",25577200000,10148500000,7179130000,6809960000,"10,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Otimo
