BARI11,Títulos e Val. Mob.,Ativa,"101,49","8,32","112,69","76,09",3048770,498639000,"0,0",476192000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield ok | P/VPC ok | Liquidez: ok | Ativos: medio | Vacancia: N/A
BPFF11,Outros,Ativa,"85,11","5,41","90,65","74,16",1162810,346852000,"0,0",385691000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield ok | P/VPC ok | Liquidez: ok | Ativos: medio | Vacancia: N/A
BVAR11,Outros,Passiva,"1099,03","122,15","0,0","0,0",0,62560300,"0,009000000000000001",688913000,73,73,"91,1","403,0","402,0","141862,0","29,91",Div Yield perigosamente alto | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
BPML11,Shoppings,Ativa,"137,81","0,81","114,09","86,71",856988,406313000,"0,068",1058210000,4,632,"139,1","321,0","4982,0","113440,0","29,32",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
CXCE11,Lajes Corporativas,Passiva,"81,14","10,62","102,07","75,39",114721,151922000,"0,0",141011000,1,1,"95,6","1004,0","7286,0","19938,0","45,0",Div Yield otimo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
CXTL11,Logística,Passiva,"634,05","12,98","313,31","197,28",103334,16593100,"0,6509999999999999",39283400,3,3,"97,7","110,0","859,0","18872,0","3,49",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
CTXT11,Lajes Corporativas,Passiva,"48,36","3,03","51,83","28,14",17269,73106800,"0,58",125643000,1,1,"98,0","308,0","1576,0","45450,0","29,2",Div Yield otimo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
FLMA11,Híbrido,Ativa,"3,11","0,09","3,4","2,71",190473,196745000,"0,0",216850000,1,135,"98,1","562,0","11160,0","17292,0","25,0",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
EDFO11,Lajes Corporativas,Passiva,"213,56","17,6","260,31","233,43",28929,58528000,"0,0",50770300,1,1,"98,9","15966,0","165347,0","350,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
EURO11,Logística,Passiva,"283,32","13,95","219,58","143,26",131792,83179700,"0,0",111733000,7,9,"98,7","47,0","703,0","116761,0","25,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
GESE11,Outros,Passiva,"1352,81","87,58","1520,0","1516,81",0,79040000,"0,0",71251000,1,1,"97,0","351,0","6066,0","12635,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
ABCP11,Shoppings,Passiva,"88,31","2,86","89,86","72,25",213868,909186000,"0,022000000000000002",1080560000,1,296,"98,0","745,0","12802,0","69628,0","29,78",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
