Data/hora da geração:,25/02/2021,09:08:36
Codigo Ativo,Tipo Provento,Data de Anuncio,Data de Pagamento,Valor
RDPD11,Rendimento,30/11/2020,14/12/2020,"0,31"
RDPD11,Rendimento,30/12/2020,15/01/2021,"0,57"
RDPD11,Rendimento,29/01/2021,12/02/2021,"0,32"
MORE11,Rendimento,14/04/2020,22/04/2020,"0,37"
MORE11,Rendimento,14/05/2020,21/05/2020,"0,37"
MORE11,Rendimento,12/06/2020,19/06/2020,"0,32"
MORE11,Rendimento,13/07/2020,20/07/2020,"0,6"
MORE11,Rendimento,13/08/2020,20/08/2020,"0,83"
MORE11,Rendimento,14/09/2020,21/09/2020,"0,9"
MORE11,Rendimento,14/10/2020,21/10/2020,"0,9"
MORE11,Rendimento,13/11/2020,20/11/2020,"0,9"
MORE11,Rendimento,11/12/2020,18/12/2020,"0,9"
MORE11,Rendimento,14/01/2021,21/01/2021,"1,0"
MORE11,Rendimento,11/02/2021,22/02/2021,"0,5"
FPAB11,Rendimento,28/02/2020,13/03/2020,"1,7"
FPAB11,Rendimento,31/03/2020,14/04/2020,"1,55"
FPAB11,Rendimento,30/04/2020,15/05/2020,"1,65"
FPAB11,Rendimento,29/05/2020,15/06/2020,"1,7"
FPAB11,Rendimento,30/06/2020,15/07/2020,"1,9"
FPAB11,Rendimento,31/07/2020,14/08/2020,"1,6"
FPAB11,Rendimento,31/08/2020,15/09/2020,"1,5"
FPAB11,Rendimento,30/09/2020,15/10/2020,"3,33"
FPAB11,Rendimento,30/10/2020,16/11/2020,"1,5"
FPAB11,Rendimento,30/11/2020,14/12/2020,"1,55"
FPAB11,Rendimento,30/12/2020,15/01/2021,"1,85"
FPAB11,Rendimento,29/01/2021,12/02/2021,"1,15"
RNDP11,Rendimento,28/02/2020,13/03/2020,"3,53"
RNDP11,Rendimento,31/03/2020,15/04/2020,"4,08"
RNDP11,Rendimento,30/04/2020,15/05/2020,"3,41"
RNDP11,Rendimento,29/05/2020,15/06/2020,"3,46"
RNDP11,Rendimento,30/06/2020,14/07/2020,"3,12"
RNDP11,Rendimento,31/07/2020,14/08/2020,"3,12"
RNDP11,Rendimento,31/08/2020,15/09/2020,"3,12"
RNDP11,Rendimento,30/09/2020,15/10/2020,"3,12"
RNDP11,Rendimento,23/09/2020,26/10/2020,"165,0"
RNDP11,Rendimento,30/10/2020,16/11/2020,"3,12"
RNDP11,Rendimento,30/11/2020,14/12/2020,"3,12"
RNDP11,Rendimento,30/12/2020,15/01/2021,"5,0"
RNDP11,Rendimento,29/01/2021,12/02/2021,"3,2"
RBRY11,Rendimento,10/03/2020,17/03/2020,"0,7"
RBRY11,Rendimento,09/04/2020,17/04/2020,"0,65"
RBRY11,Rendimento,12/05/2020,19/05/2020,"0,65"
RBRY11,Rendimento,09/06/2020,17/06/2020,"0,65"
RBRY11,Rendimento,09/07/2020,16/07/2020,"0,65"
RBRY11,Rendimento,07/08/2020,14/08/2020,"0,6"
RBRY11,Rendimento,10/09/2020,17/09/2020,"0,6"
RBRY11,Rendimento,09/10/2020,19/10/2020,"0,6"
RBRY11,Rendimento,11/11/2020,18/11/2020,"0,6"
RBRY11,Rendimento,09/12/2020,16/12/2020,"0,75"
RBRY11,Rendimento,12/01/2021,19/01/2021,"0,97"
RBRY11,Rendimento,05/02/2021,12/02/2021,"0,75"
BLCP11,Rendimento,13/07/2020,20/07/2020,"0,13"
BLCP11,Rendimento,14/10/2020,21/10/2020,"0,47"
BLCP11,Rendimento,13/11/2020,20/11/2020,"0,7"
BLCP11,Rendimento,11/12/2020,18/12/2020,"0,75"
BLCP11,Rendimento,14/01/2021,21/01/2021,"0,72"
BLCP11,Rendimento,11/02/2021,22/02/2021,"0,74"
RBRP11,Rendimento,06/03/2020,13/03/2020,"0,5"
RBRP11,Rendimento,07/04/2020,15/04/2020,"0,37"
RBRP11,Rendimento,08/05/2020,15/05/2020,"0,4"
RBRP11,Rendimento,05/06/2020,15/06/2020,"0,42"
RBRP11,Rendimento,07/07/2020,14/07/2020,"0,48"
RBRP11,Rendimento,07/08/2020,14/08/2020,"0,53"
RBRP11,Rendimento,08/09/2020,15/09/2020,"0,56"
RBRP11,Rendimento,07/10/2020,15/10/2020,"0,58"
RBRP11,Rendimento,09/11/2020,16/11/2020,"0,58"
RBRP11,Rendimento,07/12/2020,14/12/2020,"0,55"
RBRP11,Rendimento,08/01/2021,15/01/2021,"0,55"
RBRP11,Rendimento,05/02/2021,12/02/2021,"0,52"
DRIT11,Rendimento,05/03/2020,13/03/2020,"0,7"
DRIT11,Rendimento,07/04/2020,15/04/2020,"0,45"
DRIT11,Rendimento,07/05/2020,15/05/2020,"0,3"
DRIT11,Rendimento,04/06/2020,15/06/2020,"0,3"
DRIT11,Rendimento,06/07/2020,15/07/2020,"0,3"
DRIT11,Rendimento,06/08/2020,14/08/2020,"0,55"
DRIT11,Rendimento,04/09/2020,15/09/2020,"0,3"
DRIT11,Rendimento,06/10/2020,15/10/2020,"0,55"
